regime,horizon,impulse,response,irf_value
shock,1,WTI CRUDE,GOLD,-0.0007864280838225297
shock,1,WTI CRUDE,CORN,-0.0009235495753809459
shock,1,WTI CRUDE,WHEAT,-0.001581540190425983
shock,1,WTI CRUDE,SOYBEANS,-0.0014604698745027149
shock,1,WTI CRUDE,COPPER,-0.0018549930233357184
shock,1,WTI CRUDE,SILVER,0.0009481927428751501
shock,2,WTI CRUDE,WTI CRUDE,-0.006478285780425712
shock,2,WTI CRUDE,NATURAL GAS,0.004335734586491668
shock,2,WTI CRUDE,GOLD,0.0006561059614452071
shock,2,WTI CRUDE,CORN,-0.0001209680451845176
shock,2,WTI CRUDE,WHEAT,0.00029748756677833003
shock,2,WTI CRUDE,SOYBEANS,-0.0006609916732898441
shock,2,WTI CRUDE,COPPER,-0.00011574053072631047
shock,2,WTI CRUDE,SILVER,0.0010672629982450385
shock,3,WTI CRUDE,WTI CRUDE,-0.004932881442985031
shock,3,WTI CRUDE,NATURAL GAS,0.002688065059705956
shock,3,WTI CRUDE,GOLD,-0.0006003367220327383
shock,3,WTI CRUDE,CORN,0.0006959778320679091
shock,3,WTI CRUDE,WHEAT,0.0007560929704948828
shock,3,WTI CRUDE,SOYBEANS,0.0003208625974063468
shock,3,WTI CRUDE,COPPER,0.0035482440751280386
shock,3,WTI CRUDE,SILVER,0.00037026548626438536
shock,4,WTI CRUDE,WTI CRUDE,0.0009335336996790708
shock,4,WTI CRUDE,NATURAL GAS,-0.0008936312620881081
shock,4,WTI CRUDE,GOLD,-0.000459448138695728
shock,4,WTI CRUDE,CORN,-0.0009619164605699245
shock,4,WTI CRUDE,WHEAT,-0.0008307676547239039
shock,4,WTI CRUDE,SOYBEANS,-0.0005029660732800807
shock,4,WTI CRUDE,COPPER,-0.001384194864546406
shock,4,WTI CRUDE,SILVER,-0.0013267167700518926
shock,5,WTI CRUDE,WTI CRUDE,0.000511407803334616
shock,5,WTI CRUDE,NATURAL GAS,-0.0006515754853737558
shock,5,WTI CRUDE,GOLD,-0.00027015068644282487
shock,5,WTI CRUDE,CORN,-0.0004715913788470246
shock,5,WTI CRUDE,WHEAT,-0.000215477479285939
shock,5,WTI CRUDE,SOYBEANS,0.00020155099101549755
shock,5,WTI CRUDE,COPPER,-0.0008466168501401415
shock,5,WTI CRUDE,SILVER,-0.0007031974254504156
shock,6,WTI CRUDE,WTI CRUDE,-0.00025790548474897805
shock,6,WTI CRUDE,NATURAL GAS,0.0001335418722359899
shock,6,WTI CRUDE,GOLD,-0.00015204351594448663
shock,6,WTI CRUDE,CORN,-0.000600311488982656
shock,6,WTI CRUDE,WHEAT,-0.0008518230766626732
shock,6,WTI CRUDE,SOYBEANS,-0.00015103170625483238
shock,6,WTI CRUDE,COPPER,-0.0007346937801630263
shock,6,WTI CRUDE,SILVER,-0.0007977157768071541
shock,7,WTI CRUDE,WTI CRUDE,3.249582936456408e-05
shock,7,WTI CRUDE,NATURAL GAS,0.00013404464136778724
shock,7,WTI CRUDE,GOLD,0.00026295241292486195
shock,7,WTI CRUDE,CORN,0.00022002874307979191
shock,7,WTI CRUDE,WHEAT,0.0004245005652530533
shock,7,WTI CRUDE,SOYBEANS,9.303265059527115e-05
shock,7,WTI CRUDE,COPPER,0.0006814145480175165
shock,7,WTI CRUDE,SILVER,0.00048792321222628063
shock,8,WTI CRUDE,WTI CRUDE,0.00018781388814894745
shock,8,WTI CRUDE,NATURAL GAS,-0.00012956784533214687
shock,8,WTI CRUDE,GOLD,9.814967473887842e-05
shock,8,WTI CRUDE,CORN,0.00016033756398911792
shock,8,WTI CRUDE,WHEAT,0.00010729981542947818
shock,8,WTI CRUDE,SOYBEANS,6.471524951381587e-05
shock,8,WTI CRUDE,COPPER,0.0003434337967436112
shock,8,WTI CRUDE,SILVER,0.00012122540618330686
shock,9,WTI CRUDE,WTI CRUDE,0.00018715587771934758
shock,9,WTI CRUDE,NATURAL GAS,-6.416694574435957e-05
shock,9,WTI CRUDE,GOLD,-9.728971918537875e-05
shock,9,WTI CRUDE,CORN,-1.974224762759288e-05
shock,9,WTI CRUDE,WHEAT,1.5089494007413579e-06
shock,9,WTI CRUDE,SOYBEANS,-8.330694635900694e-05
shock,9,WTI CRUDE,COPPER,7.020366861527527e-05
shock,9,WTI CRUDE,SILVER,2.612618911817539e-05
shock,10,WTI CRUDE,WTI CRUDE,-9.29404064744268e-05
shock,10,WTI CRUDE,NATURAL GAS,3.1612176092186536e-05
shock,10,WTI CRUDE,GOLD,-6.328842384127308e-05
shock,10,WTI CRUDE,CORN,-3.1003030464590724e-05
shock,10,WTI CRUDE,WHEAT,-7.878067037276038e-05
shock,10,WTI CRUDE,SOYBEANS,1.829765986460963e-05
shock,10,WTI CRUDE,COPPER,-0.0001281485359482571
shock,10,WTI CRUDE,SILVER,-9.105901755793912e-05
shock,11,WTI CRUDE,WTI CRUDE,-4.134084011378389e-05
shock,11,WTI CRUDE,NATURAL GAS,2.639855946552973e-05
shock,11,WTI CRUDE,GOLD,-2.5294889337375294e-06
shock,11,WTI CRUDE,CORN,9.416918030825432e-06
shock,11,WTI CRUDE,WHEAT,-3.15490309666987e-06
shock,11,WTI CRUDE,SOYBEANS,2.6669467283921408e-05
shock,11,WTI CRUDE,COPPER,-5.201373478117448e-05
shock,11,WTI CRUDE,SILVER,8.224173030841059e-07
shock,12,WTI CRUDE,WTI CRUDE,-7.039788433026674e-05
shock,12,WTI CRUDE,NATURAL GAS,2.743337029989823e-05
shock,12,WTI CRUDE,GOLD,2.0667556598310316e-05
shock,12,WTI CRUDE,CORN,-1.8025468633450372e-05
shock,12,WTI CRUDE,WHEAT,-2.80845521976366e-05
shock,12,WTI CRUDE,SOYBEANS,-2.9947115949236706e-06
shock,12,WTI CRUDE,COPPER,3.2854298735850382e-06
shock,12,WTI CRUDE,SILVER,-7.037568852341743e-06
shock,13,WTI CRUDE,WTI CRUDE,5.5925164282458206e-05
shock,13,WTI CRUDE,NATURAL GAS,-1.2426993328654373e-05
shock,13,WTI CRUDE,GOLD,5.4900502140448514e-06
shock,13,WTI CRUDE,CORN,-3.0009034159221636e-06
shock,13,WTI CRUDE,WHEAT,1.3739582923881474e-05
shock,13,WTI CRUDE,SOYBEANS,-9.510311969801882e-06
shock,13,WTI CRUDE,COPPER,2.74781634708428e-05
shock,13,WTI CRUDE,SILVER,1.2353593026429485e-05
shock,14,WTI CRUDE,WTI CRUDE,1.2362793229074837e-05
shock,14,WTI CRUDE,NATURAL GAS,-1.866231735849178e-05
shock,14,WTI CRUDE,GOLD,-7.628864463331161e-06
shock,14,WTI CRUDE,CORN,-3.4789831470944196e-06
shock,14,WTI CRUDE,WHEAT,-1.970981970120838e-06
shock,14,WTI CRUDE,SOYBEANS,-5.734281085468716e-06
shock,14,WTI CRUDE,COPPER,7.557821841907454e-06
shock,14,WTI CRUDE,SILVER,-1.3567566018592889e-05
shock,15,WTI CRUDE,WTI CRUDE,3.4077189222698637e-06
shock,15,WTI CRUDE,NATURAL GAS,-3.225156057973463e-06
shock,15,WTI CRUDE,GOLD,-5.742968915214621e-06
shock,15,WTI CRUDE,CORN,-6.628057806388374e-07
shock,15,WTI CRUDE,WHEAT,-1.696946020067873e-06
shock,15,WTI CRUDE,SOYBEANS,-1.563568087106178e-06
shock,15,WTI CRUDE,COPPER,-5.678060354533431e-06
shock,15,WTI CRUDE,SILVER,-6.499286546149863e-06
shock,16,WTI CRUDE,WTI CRUDE,-1.8181721316436405e-05
shock,16,WTI CRUDE,NATURAL GAS,5.535501439555064e-06
shock,16,WTI CRUDE,GOLD,2.016072845953443e-06
shock,16,WTI CRUDE,CORN,1.6364647180669241e-06
shock,16,WTI CRUDE,WHEAT,-1.918081352423559e-06
shock,16,WTI CRUDE,SOYBEANS,3.1735493509878995e-06
shock,16,WTI CRUDE,COPPER,-2.288839961377917e-06
shock,16,WTI CRUDE,SILVER,4.0442564838278744e-07
shock,17,WTI CRUDE,WTI CRUDE,-1.4313720262415525e-06
shock,17,WTI CRUDE,NATURAL GAS,3.118746775623358e-06
shock,17,WTI CRUDE,GOLD,2.027901431432153e-06
shock,17,WTI CRUDE,CORN,7.784056786319098e-07
shock,17,WTI CRUDE,WHEAT,3.536033225178663e-07
shock,17,WTI CRUDE,SOYBEANS,1.9104953304027574e-06
shock,17,WTI CRUDE,COPPER,3.977297341090378e-07
shock,17,WTI CRUDE,SILVER,3.7783149310207078e-06
shock,18,WTI CRUDE,WTI CRUDE,1.7914859647549732e-06
shock,18,WTI CRUDE,NATURAL GAS,-5.400790143016156e-07
shock,18,WTI CRUDE,GOLD,-2.9641368853524624e-07
shock,18,WTI CRUDE,CORN,-5.711811024298744e-07
shock,18,WTI CRUDE,WHEAT,8.554668924356581e-08
shock,18,WTI CRUDE,SOYBEANS,-3.021924481559221e-07
shock,18,WTI CRUDE,COPPER,1.4629887400391342e-06
shock,18,WTI CRUDE,SILVER,8.28797783332831e-07
shock,19,WTI CRUDE,WTI CRUDE,4.378714437096293e-06
shock,19,WTI CRUDE,NATURAL GAS,-1.596998457003012e-06
shock,19,WTI CRUDE,GOLD,-1.2813786991407187e-06
shock,19,WTI CRUDE,CORN,-5.485024066113118e-07
shock,19,WTI CRUDE,WHEAT,1.6425704320133187e-08
shock,19,WTI CRUDE,SOYBEANS,-6.42368715179421e-07
shock,19,WTI CRUDE,COPPER,-2.3727901392204784e-07
shock,19,WTI CRUDE,SILVER,-1.1952285647624578e-06
shock,20,WTI CRUDE,WTI CRUDE,-1.0354287615843943e-07
shock,20,WTI CRUDE,NATURAL GAS,-6.386245567451688e-07
shock,20,WTI CRUDE,GOLD,-3.0738943344991077e-07
shock,20,WTI CRUDE,CORN,-1.0721823888712219e-07
shock,20,WTI CRUDE,WHEAT,-2.768030370797433e-07
shock,20,WTI CRUDE,SOYBEANS,-3.459547119396655e-07
shock,20,WTI CRUDE,COPPER,-2.805220748704324e-07
shock,20,WTI CRUDE,SILVER,-9.82687633727128e-07
